Week,paneer tikka: (India),noodles: (India),fried rice: (India),dosa: (India),idli: (India)
2019-02-17,7,19,11,41,30
2019-02-24,6,18,11,38,27
2019-03-03,8,17,12,37,27
2019-03-10,7,18,12,40,27
2019-03-17,7,19,12,39,29
2019-03-24,6,17,12,40,32
2019-03-31,7,18,10,36,29
2019-04-07,7,18,11,38,27
2019-04-14,7,18,12,38,27
2019-04-21,7,18,11,35,30
2019-04-28,7,17,11,37,26
2019-05-05,7,19,11,35,29
2019-05-12,7,20,11,38,27
2019-05-19,6,18,11,37,28
2019-05-26,6,19,12,37,29
2019-06-02,7,19,12,40,29
2019-06-09,7,19,12,39,28
2019-06-16,6,19,13,39,29
2019-06-23,7,21,13,40,30
2019-06-30,7,20,12,42,30
2019-07-07,6,20,14,42,33
2019-07-14,6,21,13,47,33
2019-07-21,7,21,14,46,36
2019-07-28,8,23,14,44,36
2019-08-04,7,23,12,40,31
2019-08-11,8,22,14,41,31
2019-08-18,7,21,12,44,32
2019-08-25,8,24,14,43,30
2019-09-01,7,21,13,41,30
2019-09-08,7,22,13,43,35
2019-09-15,8,22,13,48,35
2019-09-22,8,23,12,44,33
2019-09-29,7,21,13,43,30
2019-10-06,8,22,13,43,30
2019-10-13,6,21,12,39,28
2019-10-20,7,21,14,43,28
2019-10-27,9,20,13,38,28
2019-11-03,8,20,12,41,32
2019-11-10,7,23,14,40,30
2019-11-17,7,21,15,46,31
2019-11-24,8,22,13,43,30
2019-12-01,8,22,13,42,30
2019-12-08,7,22,14,44,30
2019-12-15,7,22,15,40,27
2019-12-22,8,23,15,41,27
2019-12-29,11,25,17,43,28
2020-01-05,7,23,13,40,28
2020-01-12,7,22,12,36,26
2020-01-19,7,20,14,40,29
2020-01-26,7,21,14,40,28
2020-02-02,7,20,14,41,31
2020-02-09,7,20,13,43,30
2020-02-16,8,21,13,45,31
2020-02-23,7,21,13,42,30
2020-03-01,7,19,13,43,30
2020-03-08,8,23,14,44,28
2020-03-15,8,24,15,44,32
2020-03-22,11,30,20,65,47
2020-03-29,13,37,27,82,62
2020-04-05,18,45,36,94,75
2020-04-12,18,46,38,96,70
2020-04-19,19,43,37,100,79
2020-04-26,19,47,32,100,66
2020-05-03,16,46,31,96,65
2020-05-10,16,46,28,83,61
2020-05-17,15,41,27,77,55
2020-05-24,14,41,21,77,52
2020-05-31,13,38,23,68,47
2020-06-07,14,38,20,64,48
2020-06-14,12,38,20,61,43
2020-06-21,12,39,23,62,43
2020-06-28,11,39,19,61,45
2020-07-05,11,37,21,61,44
2020-07-12,12,37,19,64,47
2020-07-19,12,37,19,67,44
2020-07-26,11,36,18,58,37
2020-08-02,11,32,17,55,37
2020-08-09,11,34,17,54,39
2020-08-16,10,34,17,52,36
2020-08-23,11,34,17,52,37
2020-08-30,9,32,16,51,38
2020-09-06,9,32,17,52,36
2020-09-13,8,32,16,51,35
2020-09-20,10,29,15,50,35
2020-09-27,9,31,15,48,35
2020-10-04,8,29,14,49,36
2020-10-11,8,29,14,45,30
2020-10-18,8,30,14,45,31
2020-10-25,8,35,15,45,28
2020-11-01,8,26,13,42,28
2020-11-08,8,27,15,41,28
2020-11-15,11,31,17,45,31
2020-11-22,9,31,15,47,33
2020-11-29,9,30,15,44,29
2020-12-06,9,29,15,44,31
2020-12-13,9,29,17,45,30
2020-12-20,10,28,17,46,31
2020-12-27,15,30,17,47,29
2021-01-03,9,29,15,45,30
2021-01-10,10,29,13,41,28
2021-01-17,9,28,14,48,31
2021-01-24,10,31,14,48,33
2021-01-31,9,29,15,46,33
2021-02-07,8,26,14,47,31
2021-02-14,8,26,14,46,31
2021-02-21,8,33,12,48,34
2021-02-28,9,28,13,48,31
2021-03-07,8,27,13,47,33
2021-03-14,7,32,12,45,34
2021-03-21,7,28,13,48,32
2021-03-28,9,29,14,54,40
2021-04-04,7,29,12,47,36
2021-04-11,8,30,12,47,31
2021-04-18,7,35,13,49,34
2021-04-25,8,36,13,49,33
2021-05-02,10,39,14,59,38
2021-05-09,11,38,17,59,41
2021-05-16,10,41,17,64,40
2021-05-23,11,41,17,67,43
2021-05-30,10,41,16,61,40
2021-06-06,10,39,16,60,41
2021-06-13,8,34,14,57,38
2021-06-20,8,31,14,50,35
2021-06-27,8,34,14,49,36
2021-07-04,8,32,13,49,33
2021-07-11,8,31,14,47,33
2021-07-18,9,30,14,46,31
2021-07-25,7,32,12,44,31
2021-08-01,8,30,12,44,29
2021-08-08,8,29,12,41,30
2021-08-15,8,30,11,40,30
2021-08-22,8,30,12,42,28
2021-08-29,7,29,12,41,29
2021-09-05,7,30,11,40,30
2021-09-12,7,28,12,41,29
2021-09-19,7,29,11,38,27
2021-09-26,7,28,11,39,29
2021-10-03,6,26,11,36,27
2021-10-10,7,28,12,39,26
2021-10-17,7,27,11,33,26
2021-10-24,6,27,11,33,22
2021-10-31,8,24,11,32,22
2021-11-07,7,29,12,36,25
2021-11-14,7,30,11,38,24
2021-11-21,7,29,12,40,27
2021-11-28,6,28,12,38,26
2021-12-05,7,29,12,34,27
2021-12-12,7,28,12,40,29
2021-12-19,7,30,13,36,28
2021-12-26,11,28,12,38,29
2022-01-02,8,31,13,42,31
2022-01-09,8,34,13,40,31
2022-01-16,7,35,13,40,32
2022-01-23,8,36,13,47,33
2022-01-30,7,35,13,48,33
2022-02-06,6,29,13,43,31
2022-02-13,7,31,12,43,31
2022-02-20,6,29,12,42,30
2022-02-27,6,30,11,43,29
2022-03-06,6,29,12,42,31
2022-03-13,6,29,11,42,32
2022-03-20,6,29,11,40,31
2022-03-27,5,27,10,37,29
2022-04-03,6,30,11,39,30
2022-04-10,6,29,10,39,29
2022-04-17,5,30,11,39,29
2022-04-24,6,30,10,41,30
2022-05-01,6,30,10,39,28
2022-05-08,6,30,11,41,31
2022-05-15,6,33,11,44,33
2022-05-22,6,33,11,43,32
2022-05-29,6,34,12,44,32
2022-06-05,7,35,12,43,33
2022-06-12,6,35,12,47,36
2022-06-19,7,37,12,45,35
2022-06-26,7,36,12,49,36
2022-07-03,8,37,13,45,36
2022-07-10,7,35,13,46,34
2022-07-17,7,35,12,44,35
2022-07-24,7,33,12,45,33
2022-07-31,7,33,12,43,33
2022-08-07,7,35,13,43,33
2022-08-14,7,34,12,45,31
2022-08-21,7,34,12,49,34
2022-08-28,6,33,12,42,32
2022-09-04,6,32,11,43,31
2022-09-11,6,33,13,44,32
2022-09-18,6,32,12,49,32
2022-09-25,7,31,11,42,29
2022-10-02,6,34,12,43,30
2022-10-09,6,31,11,39,33
2022-10-16,6,30,11,38,28
2022-10-23,8,30,11,39,27
2022-10-30,6,31,12,41,32
2022-11-06,6,31,12,42,31
2022-11-13,6,32,13,43,34
2022-11-20,5,31,12,44,31
2022-11-27,6,30,14,40,28
2022-12-04,6,29,12,38,28
2022-12-11,6,30,13,40,29
2022-12-18,6,29,11,39,28
2022-12-25,9,35,14,43,31
2023-01-01,7,33,12,43,32
2023-01-08,7,32,12,39,28
2023-01-15,6,30,11,40,29
2023-01-22,6,34,13,44,33
2023-01-29,6,31,12,43,32
2023-02-05,6,30,11,42,29
2023-02-12,5,30,11,38,29
2023-02-19,6,33,13,44,32
2023-02-26,6,31,11,42,30
2023-03-05,7,33,12,43,30
2023-03-12,6,34,11,43,28
2023-03-19,6,32,11,42,30
2023-03-26,5,35,11,41,31
2023-04-02,6,34,10,41,33
2023-04-09,6,32,11,41,33
2023-04-16,5,32,10,39,29
2023-04-23,5,32,10,40,31
2023-04-30,5,33,10,40,29
2023-05-07,5,31,11,40,30
2023-05-14,5,31,10,39,30
2023-05-21,6,32,10,40,31
2023-05-28,6,34,10,41,31
2023-06-04,5,33,11,43,33
2023-06-11,6,35,12,48,35
2023-06-18,7,35,12,49,35
2023-06-25,6,36,12,50,34
2023-07-02,7,37,13,47,36
2023-07-09,6,34,11,47,32
2023-07-16,6,34,12,47,34
2023-07-23,6,36,12,46,34
2023-07-30,7,33,12,45,34
2023-08-06,6,32,11,43,35
2023-08-13,6,32,12,46,34
2023-08-20,6,32,11,42,31
2023-08-27,7,31,13,42,30
2023-09-03,6,29,12,42,30
2023-09-10,6,30,11,39,28
2023-09-17,5,29,11,38,29
2023-09-24,6,32,11,40,29
2023-10-01,7,31,11,42,30
2023-10-08,5,28,11,38,27
2023-10-15,6,27,10,38,27
2023-10-22,7,32,11,38,28
2023-10-29,5,30,11,38,27
2023-11-05,5,30,10,37,27
2023-11-12,7,32,11,39,29
2023-11-19,6,34,12,39,27
2023-11-26,6,37,12,42,29
2023-12-03,6,32,12,39,28
2023-12-10,6,34,12,43,31
2023-12-17,6,32,12,41,29
2023-12-24,7,35,13,43,30
2023-12-31,9,33,13,44,29
2024-01-07,7,34,12,45,30
2024-01-14,7,32,10,42,30
2024-01-21,6,32,11,42,28
2024-01-28,6,30,11,46,30
2024-02-04,7,30,11,43,31
